epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19329.3,1.25288,0.99333,1.12397,0.74273,0.56514,0.65189,0.39254,1.39585,0.98123,1.11364,0.00095941,0.00095941,0.00095941
43,19662.1,1.25305,0.99311,1.12369,0.74208,0.56636,0.65263,0.39272,1.39864,0.98078,1.11407,0.00095842,0.00095842,0.00095842
44,20026.9,1.24828,0.98642,1.11984,0.74378,0.56646,0.65345,0.39311,1.40176,0.98026,1.11471,0.00095743,0.00095743,0.00095743
45,20357.7,1.24891,0.98506,1.11958,0.74339,0.56574,0.65405,0.39294,1.40304,0.97921,1.11452,0.00095644,0.00095644,0.00095644
46,21219.6,1.24637,0.98479,1.11905,0.74226,0.56789,0.6547,0.39315,1.40597,0.97879,1.11492,0.00095545,0.00095545,0.00095545
47,21553.7,1.24326,0.97848,1.11639,0.74442,0.56829,0.6557,0.39322,1.40898,0.9777,1.1154,0.00095446,0.00095446,0.00095446
48,22310.3,1.24017,0.97437,1.11376,0.74383,0.56738,0.65599,0.3932,1.41185,0.97729,1.11559,0.00095347,0.00095347,0.00095347
49,22645.4,1.23893,0.97587,1.11536,0.74529,0.56627,0.65697,0.39364,1.41214,0.97591,1.11496,0.00095248,0.00095248,0.00095248
50,23338.5,1.23875,0.97374,1.11503,0.74652,0.56588,0.65816,0.39374,1.41479,0.97493,1.11517,0.00095149,0.00095149,0.00095149
51,23673.5,1.23447,0.96879,1.11242,0.74574,0.56712,0.6585,0.39408,1.41611,0.9743,1.11523,0.0009505,0.0009505,0.0009505
52,24688.6,1.23331,0.96549,1.11178,0.75009,0.56552,0.65911,0.39446,1.41714,0.97304,1.11521,0.00094951,0.00094951,0.00094951
53,25023.6,1.23433,0.96546,1.11097,0.75265,0.56556,0.65917,0.39481,1.41741,0.97177,1.11461,0.00094852,0.00094852,0.00094852
54,26266.5,1.22984,0.9608,1.10865,0.75195,0.56488,0.65913,0.39523,1.41523,0.97056,1.11353,0.00094753,0.00094753,0.00094753
55,26598.6,1.22918,0.96114,1.1091,0.75514,0.56445,0.66026,0.39545,1.41741,0.97001,1.11383,0.00094654,0.00094654,0.00094654
56,26933.8,1.2298,0.95608,1.10758,0.75607,0.56591,0.66037,0.39551,1.41809,0.96896,1.11363,0.00094555,0.00094555,0.00094555
57,27268.9,1.2232,0.95301,1.10594,0.75977,0.56612,0.6615,0.39638,1.41654,0.96755,1.11252,0.00094456,0.00094456,0.00094456
58,27864.6,1.22228,0.9491,1.10424,0.7567,0.56985,0.66216,0.39733,1.41387,0.96592,1.11123,0.00094357,0.00094357,0.00094357
59,28197.6,1.22184,0.95102,1.10358,0.75705,0.56987,0.6629,0.39754,1.41318,0.9649,1.11074,0.00094258,0.00094258,0.00094258
60,29060,1.22155,0.94932,1.10326,0.75717,0.57001,0.66324,0.39836,1.41242,0.96386,1.11005,0.00094159,0.00094159,0.00094159
61,29397.2,1.22156,0.9451,1.10308,0.75567,0.57164,0.66399,0.39907,1.41224,0.96277,1.10952,0.0009406,0.0009406,0.0009406
62,30410.3,1.2201,0.94372,1.10207,0.75136,0.57456,0.664,0.39888,1.41434,0.96211,1.10981,0.00093961,0.00093961,0.00093961
63,30745,1.21668,0.94038,1.10021,0.75807,0.57277,0.66454,0.39983,1.41245,0.9605,1.10873,0.00093862,0.00093862,0.00093862
64,31350.4,1.21502,0.94078,1.09937,0.75369,0.57318,0.66514,0.40076,1.40981,0.95915,1.10769,0.00093763,0.00093763,0.00093763
65,31683.4,1.2128,0.93905,1.0986,0.7553,0.5744,0.66556,0.40102,1.4082,0.95753,1.10674,0.00093664,0.00093664,0.00093664
66,32338.6,1.21199,0.93615,1.09814,0.75592,0.57482,0.66623,0.40165,1.40673,0.95575,1.10592,0.00093565,0.00093565,0.00093565
67,32671.8,1.20944,0.93264,1.0966,0.75696,0.57603,0.66672,0.40254,1.40257,0.95429,1.10435,0.00093466,0.00093466,0.00093466
68,33208,1.20797,0.93176,1.09562,0.75973,0.57586,0.66694,0.40399,1.39683,0.95262,1.10231,0.00093367,0.00093367,0.00093367
69,33542.5,1.20946,0.93238,1.09562,0.76394,0.57331,0.66728,0.40475,1.39384,0.95145,1.10119,0.00093268,0.00093268,0.00093268
70,33875.6,1.20821,0.93033,1.09575,0.76251,0.57393,0.66744,0.40562,1.38973,0.9496,1.09979,0.00093169,0.00093169,0.00093169
71,34208.7,1.20983,0.9274,1.09595,0.76115,0.57588,0.66831,0.40669,1.38675,0.94775,1.0989,0.0009307,0.0009307,0.0009307
72,34565.4,1.2055,0.9258,1.09459,0.761,0.57787,0.66832,0.40713,1.38636,0.94667,1.09855,0.00092971,0.00092971,0.00092971
73,34900,1.20305,0.92345,1.09138,0.76207,0.57852,0.66932,0.40739,1.38408,0.9452,1.09744,0.00092872,0.00092872,0.00092872
74,35524.9,1.20318,0.92215,1.09228,0.76156,0.57892,0.67004,0.40821,1.38188,0.94415,1.09669,0.00092773,0.00092773,0.00092773
75,35857.9,1.20153,0.91996,1.09067,0.75889,0.57989,0.66991,0.40847,1.38129,0.94317,1.09637,0.00092674,0.00092674,0.00092674
76,36288.8,1.19998,0.91924,1.09089,0.76451,0.57711,0.67056,0.40932,1.38052,0.94148,1.09591,0.00092575,0.00092575,0.00092575
77,36622.5,1.20079,0.91803,1.09004,0.76114,0.57892,0.67117,0.40994,1.37823,0.94019,1.09498,0.00092476,0.00092476,0.00092476
78,36958.6,1.20012,0.91651,1.08997,0.76061,0.57953,0.67154,0.41009,1.38054,0.939,1.09521,0.00092377,0.00092377,0.00092377
79,37342.4,1.19799,0.91522,1.08803,0.76042,0.5805,0.67252,0.41022,1.3815,0.93791,1.09512,0.00092278,0.00092278,0.00092278
80,37678.4,1.19671,0.91214,1.08803,0.75686,0.58396,0.67292,0.41068,1.38033,0.9371,1.09467,0.00092179,0.00092179,0.00092179
81,38155.9,1.1938,0.90914,1.08718,0.75455,0.58517,0.67335,0.41149,1.37676,0.93602,1.09361,0.0009208,0.0009208,0.0009208
82,38493.8,1.19533,0.91056,1.08568,0.7579,0.5831,0.67374,0.41263,1.37203,0.93416,1.09198,0.00091981,0.00091981,0.00091981
83,39237.7,1.19396,0.90919,1.08658,0.75301,0.58531,0.6744,0.41335,1.36917,0.9329,1.09095,0.00091882,0.00091882,0.00091882
84,39571.7,1.19227,0.90723,1.08524,0.75914,0.58392,0.67487,0.41362,1.36899,0.93198,1.09104,0.00091783,0.00091783,0.00091783
85,40089.8,1.19195,0.90633,1.08555,0.76045,0.58133,0.67494,0.41373,1.36756,0.93149,1.09038,0.00091684,0.00091684,0.00091684
86,40421.6,1.19123,0.90475,1.08467,0.76043,0.58219,0.67536,0.41477,1.3623,0.92979,1.0888,0.00091585,0.00091585,0.00091585
87,41156.5,1.19081,0.904,1.08414,0.75917,0.58324,0.67592,0.41586,1.35708,0.92819,1.0873,0.00091486,0.00091486,0.00091486
88,41488.7,1.18898,0.9019,1.08331,0.75747,0.58465,0.67628,0.41627,1.35454,0.92717,1.08645,0.00091387,0.00091387,0.00091387
89,42126.9,1.18809,0.9,1.08257,0.75936,0.5846,0.67693,0.41647,1.35307,0.92606,1.08571,0.00091288,0.00091288,0.00091288
90,42459.4,1.18959,0.90025,1.08249,0.75875,0.5863,0.67792,0.41756,1.35038,0.92453,1.08475,0.00091189,0.00091189,0.00091189
91,42792.8,1.18824,0.89888,1.0815,0.75795,0.58782,0.67803,0.41818,1.34883,0.92386,1.08407,0.0009109,0.0009109,0.0009109
92,43452.5,1.18403,0.89497,1.08027,0.7622,0.58588,0.67827,0.41904,1.34524,0.92272,1.08301,0.00090991,0.00090991,0.00090991
93,43788.7,1.1841,0.89402,1.07964,0.76301,0.58576,0.67848,0.41952,1.34335,0.92157,1.0825,0.00090892,0.00090892,0.00090892
94,44443.5,1.18294,0.89311,1.07919,0.76274,0.58723,0.67888,0.41991,1.34264,0.92069,1.08207,0.00090793,0.00090793,0.00090793
95,44779.5,1.18307,0.89235,1.07952,0.75784,0.58985,0.67933,0.41998,1.34282,0.92009,1.08193,0.00090694,0.00090694,0.00090694
96,45111.9,1.18172,0.89023,1.07904,0.7576,0.59123,0.67977,0.42055,1.34177,0.91915,1.08146,0.00090595,0.00090595,0.00090595
97,45447.7,1.1797,0.88842,1.07753,0.75725,0.5919,0.68001,0.42121,1.3392,0.91803,1.08058,0.00090496,0.00090496,0.00090496
98,45782.3,1.17889,0.8878,1.0779,0.75856,0.5932,0.67993,0.42161,1.3378,0.91715,1.07999,0.00090397,0.00090397,0.00090397
99,46663.1,1.17928,0.887,1.0774,0.7628,0.589,0.68001,0.42199,1.33648,0.91661,1.07971,0.00090298,0.00090298,0.00090298
100,46997,1.17903,0.88696,1.07634,0.76334,0.58962,0.68006,0.42218,1.33377,0.91591,1.07881,0.00090199,0.00090199,0.00090199
101,47331.7,1.17688,0.8858,1.07631,0.76089,0.59087,0.68026,0.42283,1.33045,0.9153,1.07793,0.000901,0.000901,0.000901
102,48061.7,1.17592,0.88143,1.07488,0.76409,0.58967,0.6801,0.42335,1.32747,0.91414,1.07728,0.00090001,0.00090001,0.00090001
103,48394,1.17569,0.88221,1.07445,0.76419,0.58908,0.68071,0.42373,1.32603,0.91327,1.0767,0.00089902,0.00089902,0.00089902
104,48727.9,1.17492,0.88131,1.07433,0.76162,0.59037,0.68075,0.42436,1.32466,0.91279,1.07628,0.00089803,0.00089803,0.00089803
105,49060.5,1.17418,0.88123,1.07427,0.76279,0.59084,0.68178,0.42492,1.32281,0.91206,1.07576,0.00089704,0.00089704,0.00089704
106,49392.5,1.17696,0.88022,1.07367,0.76406,0.59112,0.68216,0.42528,1.3217,0.91108,1.07555,0.00089605,0.00089605,0.00089605
107,49728.8,1.1728,0.87812,1.07357,0.76229,0.59251,0.6823,0.42546,1.32015,0.91027,1.0751,0.00089506,0.00089506,0.00089506
108,50399.6,1.1736,0.87705,1.07327,0.76098,0.59291,0.68257,0.42583,1.32003,0.91023,1.07496,0.00089407,0.00089407,0.00089407
109,50731,1.17064,0.87499,1.07174,0.76264,0.59179,0.68286,0.42586,1.32011,0.90944,1.07491,0.00089308,0.00089308,0.00089308
110,51067.1,1.17183,0.87541,1.07175,0.76685,0.58971,0.68286,0.42584,1.31929,0.9091,1.07456,0.00089209,0.00089209,0.00089209
111,51673.9,1.16987,0.8752,1.07249,0.77077,0.58614,0.68317,0.42583,1.31854,0.90839,1.07428,0.0008911,0.0008911,0.0008911
112,52005.4,1.1695,0.87305,1.07206,0.77497,0.58481,0.68297,0.42629,1.31732,0.90771,1.07405,0.00089011,0.00089011,0.00089011
113,52340.4,1.16932,0.873,1.07073,0.76683,0.58892,0.68309,0.42674,1.3171,0.9072,1.07401,0.00088912,0.00088912,0.00088912
114,52672.4,1.16794,0.87162,1.07075,0.7654,0.59139,0.68329,0.42668,1.31709,0.90649,1.0739,0.00088813,0.00088813,0.00088813
115,53006.5,1.16838,0.86855,1.07051,0.77072,0.58889,0.68371,0.42718,1.31627,0.90568,1.07362,0.00088714,0.00088714,0.00088714
116,53340.5,1.16718,0.87052,1.07007,0.76532,0.59165,0.68407,0.42714,1.31602,0.90529,1.0735,0.00088615,0.00088615,0.00088615
117,53677.6,1.16634,0.86972,1.06861,0.762,0.59612,0.68455,0.4279,1.31537,0.90482,1.07338,0.00088516,0.00088516,0.00088516
118,54012.2,1.16393,0.8655,1.06865,0.76659,0.59515,0.68492,0.42809,1.31432,0.90444,1.07321,0.00088417,0.00088417,0.00088417
119,54345.3,1.1636,0.86655,1.06904,0.76817,0.5937,0.68527,0.42853,1.31473,0.90383,1.07329,0.00088318,0.00088318,0.00088318
120,54864.2,1.16375,0.86395,1.06815,0.76781,0.59379,0.68531,0.4289,1.31497,0.90321,1.07304,0.00088219,0.00088219,0.00088219
121,55197.4,1.16354,0.86604,1.06783,0.76302,0.599,0.68553,0.42872,1.31564,0.90325,1.07308,0.0008812,0.0008812,0.0008812
122,55532.5,1.16332,0.8635,1.06715,0.76845,0.59681,0.68597,0.42899,1.31587,0.90233,1.073,0.00088021,0.00088021,0.00088021
123,56298.2,1.16076,0.86161,1.06622,0.76975,0.59671,0.68622,0.42919,1.3155,0.90193,1.07292,0.00087922,0.00087922,0.00087922
124,56629,1.16223,0.8614,1.06686,0.76691,0.59857,0.68711,0.42951,1.31571,0.90171,1.07293,0.00087823,0.00087823,0.00087823
125,56961.1,1.16159,0.86103,1.06595,0.76638,0.59779,0.68728,0.42982,1.31614,0.90103,1.07273,0.00087724,0.00087724,0.00087724
126,57293,1.16045,0.86086,1.06524,0.76228,0.60043,0.68724,0.43016,1.31565,0.90064,1.07267,0.00087625,0.00087625,0.00087625
127,57625.2,1.15783,0.85724,1.06505,0.76806,0.59859,0.68728,0.43037,1.31568,0.9001,1.07272,0.00087526,0.00087526,0.00087526
128,57958.6,1.15815,0.85704,1.06514,0.76921,0.59917,0.6876,0.4306,1.31472,0.89984,1.07251,0.00087427,0.00087427,0.00087427
129,58290.9,1.15843,0.85588,1.06449,0.76745,0.60084,0.68805,0.43077,1.3142,0.89962,1.07239,0.00087328,0.00087328,0.00087328
130,59066.7,1.15809,0.85581,1.06453,0.76485,0.60386,0.68816,0.43061,1.31398,0.89888,1.07239,0.00087229,0.00087229,0.00087229
